,Unnamed: 0,country,year,population,gdp per capita nominal,gdp per capita ppp,iso_code,GNI,predicted_renewables_consumption
0,0,Afghanistan,2023,41454761,410.933,2173.745,AFG,380.0,0.14076
1,1,Albania,2024,2791765,9598.191,21376.586,ALB,,0.0
2,2,Albania,2023,2811655,8299.278,20018.303,ALB,7680.0,0.0
3,3,Algeria,2024,46814308,5579.128,17718.286,DZA,,7.334030000000004
4,4,Algeria,2023,46164219,5221.813,16900.136,DZA,4950.0,10.169340000000002
5,5,Angola,2024,37885849,2961.34,9801.001,AGO,,0.8280500000000001
6,6,Angola,2023,36749906,2967.384,9673.949,AGO,2120.0,0.0
7,7,Antigua and Barbuda,2024,93772,22117.858,31473.728,ATG,,0.0
8,8,Antigua and Barbuda,2023,93316,19985.469,29422.925,ATG,20200.0,0.0
9,9,Argentina,2024,45696159,12814.444,28704.096,ARG,,101.14519999999999
10,10,Argentina,2023,45538401,13823.346,29335.855,ARG,12890.0,109.45287000000003
11,11,Armenia,2024,2973840,8517.994,23376.226,ARM,,0.0
12,12,Armenia,2023,2943393,8125.625,21532.119,ARM,6780.0,0.0
13,13,Aruba,2024,108066,39697.146,52944.99,ABW,,0.33451000000000003
14,14,Aruba,2023,107939,36743.647,48967.953,ABW,30120.0,0.33451000000000003
15,15,Australia,2024,26713205,65965.622,69475.413,AUS,,126.21745000000018
16,16,Australia,2023,26451124,64546.866,67900.529,AUS,63150.0,124.08077000000009
17,17,Austria,2024,9120813,58668.601,73050.854,AUT,,146.8645500000001
18,18,Austria,2023,9130429,56856.125,71988.371,AUT,55030.0,146.84742000000008
19,19,Azerbaijan,2024,10336577,7381.368,24698.092,AZE,,6.276320000000001
20,20,Azerbaijan,2023,10318207,7144.807,23660.458,AZE,6660.0,5.9749
21,21,Bahamas,2024,401283,36321.503,37516.978,BHS,,0.0
22,22,Bahamas,2023,399440,35517.076,36353.911,BHS,33330.0,0.0
23,23,Bahrain,2024,1607049,29573.098,65344.834,BHR,,0.0
24,24,Bahrain,2023,1569666,29218.861,63497.708,BHR,28300.0,0.0
25,25,Bangladesh,2024,173562364,2624.532,9840.469,BGD,,12.995989999999992
26,26,Bangladesh,2023,171466990,2651.738,9211.637,BGD,2880.0,38.83799
27,27,Barbados,2024,282467,24758.604,22034.88,BRB,,0.0
28,28,Barbados,2023,282336,23167.298,20765.473,BRB,22870.0,0.0
29,29,Belarus,2024,9056696,8007.673,32098.475,BLR,,1.9305099999999993
30,30,Belarus,2023,9115680,7821.879,30115.084,BLR,7790.0,1.9848799999999995
31,31,Belgium,2024,11738763,56128.791,73221.637,BEL,,53.78952
32,32,Belgium,2023,11712893,53854.213,71035.464,BEL,54580.0,55.40022000000002
33,33,Belize,2024,417072,8133.122,14957.565,BLZ,,0.0
34,34,Belize,2023,411106,7592.071,14088.47,BLZ,6890.0,0.0
35,35,Benin,2024,14462724,1510.188,4500.581,BEN,,0.0
36,36,Benin,2023,14111034,1433.067,4243.964,BEN,1390.0,0.0
37,37,Bhutan,2024,791524,4068.072,16754.619,BTN,,0.0
38,38,Bhutan,2023,786385,3790.136,15705.502,BTN,,0.0
39,39,Bolivia,2024,12413315,3919.602,11322.892,BOL,,0.0
40,40,Bolivia,2023,12244159,3748.41,11028.11,BOL,3620.0,0.0
41,41,Bosnia and Herzegovina,2024,3164253,8220.816,21498.089,BIH,,0.0
42,42,Bosnia and Herzegovina,2023,3185073,7810.113,20431.303,BIH,8280.0,0.0
43,43,Botswana,2024,2521139,7341.129,19723.373,BWA,,0.0
44,44,Botswana,2023,2480244,7249.918,19391.042,BWA,8340.0,0.0
45,45,Brazil,2024,211998573,10296.412,22122.71,BRA,,1503.0967800000012
46,46,Brazil,2023,211140729,10267.932,21052.021,BRA,9280.0,1505.7845800000014
47,47,Brunei,2024,462721,34871.7,91046.396,BRN,,0.0
48,48,Brunei,2023,458949,33576.739,86866.545,BRN,34480.0,0.0
49,49,Bulgaria,2024,6757689,17069.33,39185.322,BGR,,22.979379999999995
50,50,Bulgaria,2023,6795803,15764.648,36860.958,BGR,14280.0,22.29469000000001
51,51,Burkina Faso,2024,23548781,908.372,2850.074,BFA,,0.0
52,52,Burkina Faso,2023,23025776,866.587,2712.681,BFA,860.0,0.0
53,53,Burundi,2024,14047786,320.636,985.645,BDI,,0.0
54,54,Burundi,2023,13689450,326.842,969.884,BDI,220.0,0.0
55,55,Cambodia,2024,17638801,2743.991,8136.533,KHM,,0.0
56,56,Cambodia,2023,17423880,2545.522,7608.157,KHM,2390.0,0.0
57,57,Cameroon,2024,29123744,1821.317,5565.668,CMR,,0.0
58,58,Cameroon,2023,28372687,1722.821,5361.094,CMR,1690.0,0.0
59,59,Canada,2024,39742430,53834.483,62765.568,CAN,,1177.04044
60,60,Canada,2023,39299105,53607.403,62266.066,CAN,54040.0,1182.4560600000002
61,61,Central African Republic,2024,5330690,529.492,1296.324,CAF,,0.0
62,62,Central African Republic,2023,5152421,510.568,1291.253,CAF,530.0,0.0
63,63,Chad,2024,20299123,1012.651,2832.345,TCD,,0.0
64,64,Chad,2023,19319064,982.381,2757.762,TCD,670.0,0.0
65,65,Chile,2024,19764771,16365.296,33574.404,CHL,,96.32001000000004
66,66,Chile,2023,19658835,16814.973,32204.174,CHL,15800.0,97.49955000000004
67,67,China,2024,1419321278,12968.567,26309.991,CHN,,4949.916890000005
68,68,China,2023,1422584933,12597.307,24502.814,CHN,13390.0,5019.037800000004
69,69,Colombia,2024,52886363,7917.244,21436.901,COL,,143.10374999999993
70,70,Colombia,2023,52321152,6962.873,20787.614,COL,6810.0,148.71075999999996
71,71,Comoros,2024,866628,1629.863,3860.618,COM,,0.0
72,72,Comoros,2023,850387,1540.685,3725.593,COM,1610.0,0.0
73,73,Congo,2024,6332961,2384.399,6403.607,COG,,0.0
74,74,Congo,2023,6182885,2308.52,6252.157,COG,2450.0,0.0
75,75,Costa Rica,2024,5129910,17860.414,29779.185,CRI,,2.43844
76,76,Costa Rica,2023,5105525,16390.222,28226.753,CRI,14260.0,1.7725499999999998
77,77,Croatia,2024,3875325,23380.437,48811.093,HRV,,15.967179999999994
78,78,Croatia,2023,3896023,21520.681,46005.225,HRV,20590.0,18.803189999999997
79,79,Cyprus,2024,1358282,37766.666,59857.876,CYP,,0.0
80,80,Cyprus,2023,1344976,35015.587,56628.363,CYP,32960.0,0.0
81,81,Denmark,2024,5977412,69273.048,83454.418,DNK,,59.23813999999997
82,82,Denmark,2023,5948136,68618.872,80210.524,DNK,73340.0,58.45556000000001
83,83,Djibouti,2024,1168722,4154.792,8600.896,DJI,,0.0
84,84,Djibouti,2023,1152944,3895.094,7988.555,DJI,3400.0,0.0
85,85,Dominica,2024,66205,9391.59,18390.67,DMA,,0.0
86,86,Dominica,2023,66510,8781.135,17265.606,DMA,9790.0,0.0
87,87,Dominican Republic,2024,11427557,11692.09,28949.585,DOM,,0.8069200000000001
88,88,Dominican Republic,2023,11331265,11372.125,27112.85,DOM,9710.0,0.41583
89,89,Ecuador,2024,18135478,6758.373,16515.535,ECU,,54.93103999999996
90,90,Ecuador,2023,17980083,6663.636,16192.853,ECU,6590.0,57.25488999999996
91,91,Egypt,2024,116538258,3541.75,20799.054,EGY,,33.08297000000002
92,92,Egypt,2023,114535772,3743.608,20180.861,EGY,3840.0,76.39052999999998
93,93,El Salvador,2024,6338193,5606.972,13172.75,SLV,,0.0
94,94,El Salvador,2023,6309624,5344.249,12546.846,SLV,4960.0,0.0
95,95,Equatorial Guinea,2024,1892516,8101.698,21750.628,GNQ,,0.0
96,96,Equatorial Guinea,2023,1847549,7755.011,20675.69,GNQ,4840.0,0.0
97,97,Estonia,2024,1360546,31530.969,48008.04,EST,,3.03629
98,98,Estonia,2023,1367196,30137.644,47127.95,EST,27620.0,3.118069999999999
99,99,Eswatini,2024,1242822,4375.286,12963.227,SWZ,,0.0
100,100,Eswatini,2023,1230506,4173.577,12232.255,SWZ,,0.0
